,발전설비,,,,,총발전량,,,,,소내전력량,,,,송배전손실량,,판매전력량,,,,,,,,,,
연도,수력(MW),화력(MW),원자력(MW),자가용(MW),총계(MW),수력(GWh),화력(GWh),원자력(GWh),자가용(GWh),총계(GWh),소내전력량(GWh),소내전력률(%),양수용전력량(GWh),송전단전력량(GWh),송배전손실량(GWh),송배전손실률(%),판매전력량(GWh),수요성장률(%),최대전력(발전단)(MW),평균전력(MW),부하율(%),이용율(%),열효율(%),평균판매단가(원/kWh),고객호수(천호),종업원수(명),인구1인당 소비전력량(kWh/명)
2015,6470.709,69462.368,21715.683,3749.94,101398.701,5796.04,356956.382,164762.416,18014.428,545529.266,23782.283,4.503,4823.507,499239.421,17979.21,3.601,483654.816,1.27,78790,60284.383,76.513,61.7,40.925,111.575,22030.215,18087,9555.177
2014,6466.936,66033.135,20715.683,3709.47,96925.225,7819.548,357183.031,156406.511,18969.709,540378.799,20257.068,3.88,6644.037,494716.613,18270.412,3.69,477591.701,0.6,80154,59585.72,74.3,63.9,41.251,111.28,21532.269,17787,9305
2013,6454.462,59798.792,20715.683,4108.548,91077.485,8393.928,368289.03,138783.973,21702.345,537169.276,20463.269,3.96,5408.107,491002.788,18311.111,3.73,474848.58,1.769343283,76522,59035.145,77.1,68,39.55,106.33,21017.693,17517,9285.001878
2012,6446.03,54643.863,20715.683,4043.517,85849.093,7652.301,349500.614,150327.293,23721.658,531201.866,20154.366,3.96,4789.137,484334.191,17291.504,3.57,466592.949,2.5,75987,58011.649,76.3,70.2,40.48,99.1,20475.899,17117,9331.03
2011,6418.389,54207.795,18715.683,3968.605,83310.472,7830.652,333526.174,154723.107,21489.797,517569.729,19689.178,4.14,4256.763,472650.336,17430.383,3.69,455070.261,4.816,73137,56722.987,77.557,73.915,40.445,89.32,19814.866,17095,9141.731
2010,5524.54,52837.965,17715.683,3905.605,79983.793,6471.903,318750.395,148595.712,21210.354,495028.363,19371.717,4.2,3662.63,451432.993,18034.237,3.99,434160.228,10.1,71308,54184.955,75.9,73.3,40.83,86.12,19229.45,17486,8883.158
2009,5514.572,50239.723,17715.683,4222.771,77692.749,5641.162,279335.641,147770.807,19699.851,452447.461,18258.121,4.3,3712.816,411631.124,16769.741,4.07,394474.637,2.4,66797,49498.144,74.1,67.8,40.546,83.59,18727.411,17885,8092.336
2008,5505.137,49269.871,17715.683,4089.658,76580.35,5562.651,265105.263,150957.936,20985.109,442610.958,17374.1,4.19,3242.816,401726.293,16106.376,4.01,385070.137,4.467,62794,48082.323,76.6,67.7,40.837,78.76,18419.048,18534,7922.148
2007,5492.087,45060.418,17715.683,4855.762,73123.95,5042.462,254314.812,142937.164,23112.851,425407.289,16614.307,4.17,1816.953,384693.24,15345.161,3.99,368605.433,5.703,62285,46018.779,73.9,67.9,40.9,77.85,18038.81,18599,7607
2006,5484.858,42313.701,17715.683,4319.5,69833.742,5218.621,226834.507,148748.887,22186.927,402988.943,15811.741,4.186,2315.002,363053.966,14587.227,4.02,348719.371,4.906,58994,43513.78,73.76,66.9,40.97,76.43,17624.836,18341,7191
2005,3882.813,40659.701,17715.683,4817.043,67075.24,5188.888,212402.078,146779.023,25109.522,389479.512,16451.551,4.56,1980.383,346207.397,15614.768,4.51,332412.828,6.51,54631,41625.494,76.2,67.5,40.7,74.46,17329.494,18261,6883
2004,3879.313,39366.135,16715.683,4591.443,64552.574,5861.434,205126.268,130714.816,26331.038,368033.552,15268.295,4.52,1994.428,324885.244,14490.446,4.46,312095.586,6.3,51264,39057.987,76.19,66.5,40.66,74.58,17061.591,18081,6491
2003,3876.779,36460.215,15715.683,4667.043,60719.72,6886.983,181014.245,129671.763,30183.218,347756.209,14225.808,4.48,2581.202,305644.685,13539.237,4.43,293599.23,5.44,47385,36809.554,77.682,65.9,39.94,74.68,16775.526,17122,6126.182
2002,3875.764,34209.4,15715.683,5813.255,59614.102,5311.047,177619.457,119102.905,29987.539,332020.947,13728.064,4.55,2687.557,290058.444,12994.484,4.48,278451.371,8.039,45773,34985.624,76.433,65.7,39.96,73.88,16490.026,16773,5844.954
2001,3875.764,33267.2,13715.683,5857.395,56716.042,4150.753,164794.651,112133.033,28807.516,309885.952,12980.24,4.62,2401.471,269842.046,12140.439,4.499,257731.354,7.596,43125,32559.79,75.501,64.4,39.57,77.06,15618.745,16641,5443.917
2000,3148.664,31586.37,13715.683,5234.196,53684.913,5609.822,147104.534,108963.74,28764.853,290442.948,12328.447,4.71,2117.786,251953.275,11871.191,4.712,239535.486,11.82,41007,30327.813,73.958,62.2,39.45,74.65,14975.793,29528,5066.853
1999,3147.564,30114.45,13715.683,4609.687,51587.384,6066.233,125529.29,103063.779,27492.84,262152.146,10997.86,4.69,2524.85,225802.02,11280.11,5,214214.89,10.7,37293,27320.18,73.3,57.3,39.51,71.59,14379.37,30227,4572
1998,3131.208,28258.95,12015.683,4577.401,47983.242,6099.036,116121.92,89688.972,25287.48,237197.406,9444.71,4.46,2425.41,203430.3,9959.97,4.9,193470.34,-3.6,32996,24577.67,74.5,55.7,39.45,72.08,14102.16,30149,4167
1997,3114.595,27611.5,10315.683,4290.812,45332.59,5403.525,139940.08,77085.649,24208.22,246587.471,9694.01,4.36,3721.85,211028.74,10245.11,4.85,200783.63,10,35851,25621.53,71.5,64.7,38.38,65.26,13913.35,32317,4366
1996,3094.45,23005.3,9615.683,3523.902,39239.335,5201.324,124660.55,73924.34,22059.51,225845.719,8868.9,4.35,3741.69,192882.96,10412.59,5.4,182470.37,11.8,32282,23394.08,72.5,67.2,38.21,62.99,13329.5,31654,4006
1995,3093.39,20474.8,8615.683,3171.912,35355.785,5477.918,110599.26,67028.647,20440.64,203546.465,8298.75,4.53,3668.78,172693.29,9423,5.46,163270.29,11.4,29878,21080,70.6,66.3,38.14,61.28,12771.34,30767,3640
1994,2492.59,18641.3,7615.683,4563.122,33312.695,4098.252,100642.24,58650.918,19974.12,183365.532,7401.5,4.53,2372.85,155218.43,8677.93,5.59,146540.5,14.7,26696,18834.79,70.6,65.4,38.16,60.22,12160.98,30180,3297
1993,2503.71,17534.3,7615.683,4163.118,31816.811,6006.079,78744.19,58138.203,19012.48,161900.951,6748.91,4.72,2415.37,135272.54,7538.61,5.57,127733.92,10.8,22112,16488.22,74.6,61.6,37.34,58.9,11499.37,29892,2899
1992,2497.79,14006.6,7615.683,3976.163,28096.236,4863.223,68152.62,56530.214,16893.23,146439.284,6236.07,4.81,2417.65,122308.82,7064.84,5.78,115243.98,10.4,20437.51,14909.21,72.9,64.9,36.73,58.09,10747.59,29609,2639
