date,쌀,돼지고기,쇠고기국산,우유,라면,스낵과자,달걀,닭고기,두부,마른멸치,고등어,파,참기름,맛김,콩나물,탄산음료,밀가루,담배국산,맥주,소주,세탁료,전세,월세,전기료,도시가스,상수도료,세탁세제,치과진료비,감기약,휘발유,시내버스료,도시철도료,휴대전화료,영화관람료,삼겹살외식,설렁탕,미용료,목욕료,외래진료비
2003.02,85.905,49.902,66.889,44.111,66.478,50.315,45.932,58.883,59.895,61.741,58.927,96.502,60.979,45.645,68.668,50.549,54.843,42.898,89.097,74.725,83.683,71.157,84.479,92.611,56.404,84.087,87.123,92.022,69.583,82.968,55.307,49.366,115.827,79.895,54.112,67.952,63.892,62.279,
2003.03,85.905,49.946,67.322,44.111,66.478,50.315,45.856,62.057,59.895,62.171,65.235,99.24,60.041,45.645,70.92,50.457,54.843,42.898,90.147,79.991,85.963,71.568,84.798,92.611,56.404,84.087,85.507,92.022,70.132,83.802,64.109,57.614,115.827,79.895,54.112,67.952,61.322,62.279,
2003.04,85.73,51.45,67.355,44.111,66.25,50.398,45.894,59.505,59.895,62.171,67.507,80.963,59.102,45.066,70.92,50.366,54.843,42.898,91.46,81.2,85.963,71.862,84.878,92.611,59.357,84.087,85.999,92.022,70.132,80.083,64.109,57.614,115.827,79.895,55.513,69.048,61.322,62.279,
2003.05,85.818,52.733,69.448,44.111,66.307,50.398,47.717,57.016,59.895,62.028,72.225,69.216,58.225,45.066,71.262,51.87,54.843,42.898,91.46,81.2,85.963,72.332,84.957,92.611,59.357,84.087,84.101,92.022,70.132,80.387,64.109,57.614,115.14,79.895,56.189,69.048,61.322,62.279,
2003.06,85.905,53.928,70.504,44.111,66.307,50.398,47.033,56.642,59.895,62.028,71.031,60.84,60.354,44.978,71.671,51.368,54.843,42.898,91.46,81.2,85.963,72.508,85.117,92.611,59.357,84.087,84.453,92.022,69.461,79.704,64.109,57.614,115.14,79.895,56.189,69.048,61.797,62.279,
2003.07,85.467,55.166,69.085,44.111,64.989,49.984,44.907,54.339,59.895,61.694,67.679,55.099,60.729,44.978,71.671,51.368,54.843,42.898,91.46,80.845,85.963,72.627,85.197,92.611,59.357,84.087,82.416,88.046,69.461,79.172,64.109,57.614,115.14,79.895,56.189,69.048,66.925,62.279,
2003.08,85.905,54.989,71.136,44.111,65.275,49.901,46.805,56.518,59.895,58.487,63.871,61.578,61.731,44.978,71.262,49.819,53.816,42.898,91.285,80.631,85.963,72.861,85.197,92.611,58.389,84.087,80.869,88.046,70.071,79.172,64.109,57.614,115.14,79.895,56.189,69.048,66.925,63.353,
2003.09,85.992,54.458,72.231,44.111,66.478,49.777,50.26,57.39,59.895,59.348,68.474,96.028,61.355,44.978,70.102,51.414,53.816,42.898,91.285,80.631,85.963,73.097,85.197,92.611,58.389,84.087,86.35,88.046,70.071,79.172,64.109,57.614,115.14,79.895,56.189,69.048,66.925,63.353,
2003.1,85.205,52.733,71.184,44.111,66.478,49.777,48.285,57.14,59.895,59.54,70.065,110.935,59.79,44.978,70.511,51.323,55.558,42.898,90.847,80.346,85.963,73.214,85.197,92.611,56.2,84.087,86.842,88.046,70.071,79.172,64.109,57.614,115.14,79.895,56.189,69.048,66.925,60.559,
2003.11,85.379,51.981,71.713,46.305,66.192,49.238,48.627,56.331,59.895,58.965,70.122,103.929,58.914,44.667,70.852,50.549,55.246,42.898,90.147,79.991,85.963,73.45,85.356,92.611,56.2,84.087,78.973,88.046,69.4,80.387,64.109,57.614,115.14,79.895,56.189,69.048,66.925,60.559,
