"Date","Ã»³â½Ç¾÷·ü"
"2003-01",8.8
"2003-02",9
"2003-03",8.4
"2003-04",7.6
"2003-05",7.6
"2003-06",7.7
"2003-07",7.9
"2003-08",7.4
"2003-09",6.9
"2003-10",7.5
"2003-11",8.2
"2003-12",8.9
"2004-01",9.3
"2004-02",9.5
"2004-03",9.1
"2004-04",8
"2004-05",8.1
"2004-06",8
"2004-07",7.9
"2004-08",7.6
"2004-09",7
"2004-10",7.6
"2004-11",7.7
"2004-12",8.9
"2005-01",9.3
"2005-02",9
"2005-03",8.8
"2005-04",8.2
"2005-05",7.4
"2005-06",7.8
"2005-07",8.3
"2005-08",7.4
"2005-09",7.2
"2005-10",7.2
"2005-11",7.3
"2005-12",7.9
"2006-01",8
"2006-02",8.7
"2006-03",8.5
"2006-04",8
"2006-05",7.1
"2006-06",8
"2006-07",8
"2006-08",7.4
"2006-09",7.3
"2006-10",8
"2006-11",7.5
"2006-12",7.9
"2007-01",7.4
"2007-02",7.8
"2007-03",7.5
"2007-04",7.6
"2007-05",7
"2007-06",7.2
"2007-07",7.6
"2007-08",6.7
"2007-09",7
"2007-10",6.5
"2007-11",7.1
"2007-12",7.3
"2008-01",7.1
"2008-02",7.3
"2008-03",7.6
"2008-04",7.5
"2008-05",6.9
"2008-06",7.8
"2008-07",7.4
"2008-08",7.1
"2008-09",6.1
"2008-10",6.6
"2008-11",6.8
"2008-12",7.6
"2009-01",8.2
"2009-02",8.7
"2009-03",8.8
"2009-04",8
"2009-05",7.6
"2009-06",8.4
"2009-07",8.5
"2009-08",8.2
"2009-09",7.6
"2009-10",7.5
"2009-11",7.7
"2009-12",7.6
"2010-01",9.3
"2010-02",10
"2010-03",9
"2010-04",8.6
"2010-05",6.4
"2010-06",8.3
"2010-07",8.5
"2010-08",7
"2010-09",7.2
"2010-10",7
"2010-11",6.4
"2010-12",8
"2011-01",8.5
"2011-02",8.5
"2011-03",9.5
"2011-04",8.7
"2011-05",7.3
"2011-06",7.6
"2011-07",7.6
"2011-08",6.3
"2011-09",6.3
"2011-10",6.7
"2011-11",6.8
"2011-12",7.7
"2012-01",8
"2012-02",8.3
"2012-03",8.3
"2012-04",8.5
"2012-05",8
"2012-06",7.7
"2012-07",7.3
"2012-08",6.4
"2012-09",6.7
"2012-10",6.9
"2012-11",6.7
"2012-12",7.5
"2013-01",7.5
"2013-02",9.1
"2013-03",8.6
"2013-04",8.4
"2013-05",7.4
"2013-06",7.9
"2013-07",8.3
"2013-08",7.6
"2013-09",7.7
"2013-10",7.8
"2013-11",7.5
"2013-12",8.5
"2014-01",8.7
"2014-02",10.9
"2014-03",9.9
"2014-04",10
"2014-05",8.7
"2014-06",9.5
"2014-07",8.9
"2014-08",8.4
"2014-09",8.5
"2014-10",8
"2014-11",7.9
"2014-12",9
"2015-01",9.2
"2015-02",11.1
"2015-03",10.7
"2015-04",10.2
"2015-05",9.3
"2015-06",10.2
"2015-07",9.4
"2015-08",8
"2015-09",7.9
"2015-10",7.4
"2015-11",8.1
"2015-12",8.4
"2016-01",9.5
"2016-02",12.5
"2016-03",11.8
"2016-04",10.9
"2016-05",9.7
"2016-06",10.3
"2016-07",9.2
"2016-08",9.3
"2016-09",9.4
"2016-10",8.5
"2016-11",8.2
"2016-12",8.4
"2017-01",8.6
"2017-02",12.3
"2017-03",11.3
"2017-04",11.2
"2017-05",9.3
