"Date","청년실업률","총지수","식료품","비주류음료","주류","담배","의류","신발","주택임차료","주거시설유지보수","수도및주거관련서비스","전기가스및기타연료","가구가사비품및카페트","가정용섬유제품","가정용기기","주방용품및가정용품","가정정원용공구및장비","일상생활용품및가사서비스","의료용품및장비","외래환자서비스","병원서비스","운송장비","개인운송장비운영","운송서비스","우편서비스","전화및팩스장비","전화및팩스서비스","음향영상사진및정보처리장비","기타오락및문화용주요내구재","기타오락용품조경용품및애완동물","오락및문화서비스","신문서적및문방구","단체여행","유치원및초등교육","중등교육","고등교육","기타교육","음식서비스","숙박서비스","미용용품및미용서비스","기타개인용품","기타서비스","평균기온C","평균현지기압hPa","평균수증기압hPa","평균상대습도","월합강수량0024h만mm","평균풍속ms","평균운량","월적설량합","평균지면온도C","소비자물가","생산가능인구","경제활동인구","취업자","실업자","실업률","고용률","경제활동참가율"
"2003-01",8.8,89.965,86.905,85.263,95.15,54.609,84.662,89.574,84.543,84.429,80.315,88.22,90.412,91.069,94.889,82.847,91.136,89.605,95.756,95.873,92.012,99.3,100.38,84.744,84.374,120.871,104.153,135.373,93.248,94.119,92.842,86.157,95.754,102.7,100.279,99.99,85.539,90.297,83.624,87.008,76.888,109.917,14.1,1006.5,9.2,59,54.6,2.4,4.6,0,15.4,3.8,25,158,154,450,8.8,44.7,49
"2003-02",9,72.242,62.155,61.29,83.82,42.898,71.076,74.27,74.153,61.434,60.864,63.708,67.766,84.718,106.604,69.299,81.73,63.405,90.48,79.57,74.465,96.527,77.967,60.311,73.899,347.898,111.48,314.11,76.797,89.322,83.689,70.423,78.654,72.92,89.199,64.96,64.658,72.172,76.484,74.28,33.181,91.881,2.7,1011.7,4.7,62,39.6,2.2,4.6,0.2,2,3.9,24,155,153,460,9,44.5,48.9
"2003-03",8.4,73.157,63.139,61.058,85.957,42.898,71.076,75.869,74.593,61.434,61.293,63.996,67.766,84.718,106.386,69.49,81.73,63.122,90.564,79.371,74.465,96.62,78.745,65.794,73.899,326.878,111.48,306.394,76.797,88.426,84.007,70.734,77.569,77.438,95.943,70.346,66.958,72.375,78.031,73.584,32.827,93.152,6.5,1010.5,5.6,58,26.8,2.3,5.4,1,7.2,4.5,23,149,142,421,8.4,43.8,47.9
"2003-04",7.6,73.157,62.974,61.464,86.861,42.898,71.076,75.869,74.845,61.434,61.614,63.765,67.766,84.718,105.513,69.49,81.73,63.574,90.735,79.371,74.465,96.712,75.567,65.848,73.899,310.062,111.106,302.719,76.869,86.23,84.166,70.796,79.954,77.438,95.943,70.291,67.017,73.459,78.031,73.724,32.037,93.49,13.2,1004.7,8.8,60,139.6,2.5,5.4,0,14,3.7,22,144,144,379,7.6,44,47.6
"2003-05",7.6,73.157,62.046,61.812,86.861,42.898,71.601,75.869,75.223,61.434,62.364,63.881,67.766,84.718,105.622,69.49,81.73,63.349,92.434,79.371,74.465,96.712,75.778,65.848,73.899,310.062,110.731,298.313,76.869,86.555,84.247,70.796,78.87,78.192,95.943,70.123,67.017,73.731,78.031,73.724,32.31,93.49,19.6,1002.4,12.8,57,106,1.8,4.4,0,22.3,3.2,21,142,143,375,7.6,44.1,47.7
"2003-06",7.7,73.027,61.119,61.754,86.696,42.898,71.601,76.317,75.412,61.434,64.079,63.477,67.766,84.718,104.642,69.49,81.73,63.349,92.434,79.371,74.465,96.804,75.001,65.848,73.899,300.076,110.731,295.74,78.54,83.546,84.645,70.796,78.87,78.192,95.943,70.123,67.076,73.799,78.031,73.861,32.854,94.338,21.5,996.3,17.5,69,156,2,6.7,0,23.7,3,20,145,148,381,7.7,44.3,48
"2003-07",7.9,72.895,60.572,61.173,86.532,42.898,71.601,75.549,75.537,61.434,64.775,63.996,67.766,84.718,103.443,67.587,81.73,62.897,92.434,79.172,74.465,93.126,75.001,66.278,73.899,299.024,110.731,295.373,78.396,80.373,84.964,70.796,80.75,78.192,95.943,70.123,67.076,73.867,72.514,74.418,31.629,94.338,23.8,997,22.2,75,469.8,1.8,7.6,0,24.6,3.2,19,159,156,409,7.9,46,49.9
"2003-08",7.4,73.223,62.101,61.058,86.45,42.898,71.667,77.149,75.726,61.434,65.258,63.593,68.135,84.718,102.353,69.616,82.011,62.727,92.519,79.172,74.465,93.126,75.001,66.063,73.899,279.581,110.108,295.006,78.613,79.072,84.964,70.796,79.594,78.192,95.943,70.123,67.076,74.138,74.062,74.766,32.609,94.338,24.1,998.9,23.2,77,684.2,1.4,7.6,0,24.7,3,18,148,151,370,7.4,44.7,48.3
"2003-09",6.9,73.877,65.266,61.638,86.45,42.898,71.732,78.173,75.915,61.491,65.846,63.593,68.196,83.605,102.353,69.616,82.105,72.043,92.179,79.172,74.465,93.126,75.001,65.902,73.899,279.055,110.108,289.861,78.613,81.349,84.964,70.796,75.616,78.192,95.943,70.123,66.899,74.206,75.003,75.044,32.963,94.338,20.9,1003.8,18.1,72,258.2,1.1,6.3,0,21.8,3.3,17,131,133,335,6.9,43.8,47
"2003-10",7.5,73.943,65.539,61.579,86.121,42.898,71.47,78.173,76.041,65.783,65.258,62.671,67.151,83.605,102.462,69.49,82.384,72.1,91.584,79.172,74.465,93.126,75.072,65.902,73.899,278.53,110.108,289.127,79.049,84.196,85.044,70.796,75.473,78.192,95.943,70.123,66.958,74.476,75.003,73.445,32.799,94.338,13.9,1008.1,10,61,41.5,2,3.4,0,13.9,3.7,16,137,134,367,7.5,44.1,47.6
