"일시","평균기온C","평균현지기압hPa","평균수증기압hPa","평균상대습도","월합강수량0024h만mm","평균풍속ms","평균운량","월적설량합","평균지면온도C"
"2003-02",2.7,1011.7,4.7,62,39.6,2.2,4.6,0.2,2
"2003-03",6.5,1010.5,5.6,58,26.8,2.3,5.4,1,7.2
"2003-04",13.2,1004.7,8.8,60,139.6,2.5,5.4,NA,14
"2003-05",19.6,1002.4,12.8,57,106,1.8,4.4,NA,22.3
"2003-06",21.5,996.3,17.5,69,156,2,6.7,NA,23.7
"2003-07",23.8,997,22.2,75,469.8,1.8,7.6,NA,24.6
"2003-08",24.1,998.9,23.2,77,684.2,1.4,7.6,NA,24.7
"2003-09",20.9,1003.8,18.1,72,258.2,1.1,6.3,NA,21.8
"2003-10",13.9,1008.1,10,61,41.5,2,3.4,NA,13.9
"2003-11",9.5,1012.4,8.3,66,69.3,2,5.4,NA,7.9
"2003-12",0.7,1013.8,4,59,6.9,2.4,3.1,1,-0.9
"2004-01",-1.5,1013.3,3.4,59,19.8,2.1,3.3,13.9,-1.4
"2004-02",2.3,1009.1,4.2,56,54.6,2.9,3.5,1.4,1.4
"2004-03",6.3,1009.4,4.8,49,27.6,2.7,3.9,19.3,7.4
"2004-04",13.1,1003.5,7.7,51,74.1,2.7,3.9,NA,14.7
"2004-05",17.6,999.4,13.5,68,168.5,2.6,5.8,NA,19.2
"2004-06",23.2,999.8,18,64,138.1,2.1,6.4,NA,26.1
"2004-07",24.8,997.2,25.7,82,510.7,2.3,7.8,NA,26.1
"2004-08",26.1,998.1,23.9,71,193.3,2.4,6,NA,28.6
"2004-09",21.7,1004.8,17.8,69,198.7,2.2,5.5,NA,23.3
"2004-10",15.2,1010.7,9.6,54,6.5,2,2.4,NA,17.9
"2004-11",9.1,1012.4,8,66,80,2,3.7,NA,8.3
"2004-12",1.9,1014.4,4.3,56,27.2,2.2,3,NA,1.3
"2005-01",-2.5,1012.2,2.7,52,4.5,2.4,2.7,2.5,-2.2
"2005-02",-1.9,1013.5,2.7,49,17.2,2.8,3.5,2.5,-0.2
"2005-03",4.1,1008.9,4.7,54,12.5,2.9,3.8,4.9,5.7
"2005-04",13.2,1003.7,8.3,53,94.7,3,4.3,NA,14.7
