date,소비자물가,농축수산물,공업제품,집세,공공서비스,개인서비스,근원물가,생활물가
200301,3.8,6.8,4.2,4.6,-0.3,4.2,3.1,4
200302,3.9,3.8,4.5,4.4,1.2,4.1,3,4.2
200303,4.5,7.9,4.8,4.3,2.4,4.3,3.4,5.5
200304,3.7,5.4,2.9,4,3.1,4.3,3.2,4.3
200305,3.2,1.9,2.5,3.8,2.8,4.4,3.1,3.1
200306,3,1,2,3.6,3.6,4.4,3.3,3.1
200307,3.2,3.4,1.8,3.3,3.7,4.6,3.1,3.7
200308,3,2.1,1.9,3.2,3.4,4.6,3.2,3.5
200309,3.3,5,1.6,3.1,3.2,4.6,3.1,3.8
200310,3.7,13.2,0.6,2.9,2.6,4.6,2.8,4.8
200311,3.4,11.9,0.3,2.9,2.5,4.6,2.7,4.2
200312,3.4,8.9,1.4,2.8,2,4.7,2.8,4.2
200401,3.4,8.2,1.5,2.8,1.9,4.5,2.8,4.3
200402,3.3,8.7,0.9,2.7,3.1,4.3,2.7,4.2
200403,3.1,8.9,0.9,2.3,1.8,4.3,2.7,3.8
200404,3.3,9.8,1.8,2.1,1,4.2,2.7,4.1
200405,3.3,10.3,2.1,1.8,1,4.2,2.7,4.6
200406,3.6,11.8,2.5,1.6,1,4.2,2.7,4.9
200407,4.4,14.1,3.2,1.5,2.1,4.3,3.1,5.8
200408,4.8,16.3,3.6,1.3,2.6,4.1,3.2,6.7
200409,3.9,8.6,3.8,1,2.8,4,3.2,5.7
200410,3.8,5.3,4.3,0.9,3.9,3.9,3.4,5.5
200411,3.3,3.1,4,0.7,4.1,3.8,3.1,5
200412,3,3.2,2.8,0.4,4.7,3.7,2.9,4.5
200501,3.4,3.7,3.8,0.3,5,3.8,3.3,5.1
200502,3.4,5.2,3.6,0.2,4.2,3.9,3.4,4.9
200503,3,2.9,3.7,0.1,3.8,3.4,2.8,4.3
200504,3.1,4.2,4,-0.1,3.3,3.3,2.7,4.7
200505,3.1,4,3.7,-0.2,3.6,3.2,2.6,4.6
200506,2.8,1.8,3.4,-0.4,3.6,3,2.3,4.2
200507,2.6,1.7,3.6,-0.5,3,2.7,2.1,4
200508,2,-2.7,3.5,-0.5,2.8,2.9,1.9,2.8
200509,2.5,0.8,3.9,-0.6,2.8,3,1.8,3.5
200510,2.3,0.4,3.6,-0.4,2.1,2.9,1.7,3.3
200511,2.5,-0.9,3.7,-0.4,2.5,3,1.9,3.5
200512,2.6,1.9,3.9,-0.3,1.7,2.9,1.8,3.9
200601,2.2,2.4,2.5,-0.3,2.2,2.7,1.3,3.4
200602,2,-1.2,2.4,-0.2,2.6,2.9,1.3,3.1
200603,2,-1.6,2,-0.1,2.6,3,1.4,2.8
200604,2,-2.7,2.1,0,3.4,3,1.5,2.9
200605,2.3,-2.4,3,0.2,3.2,3.1,1.8,3.1
200606,2.4,-1,2.8,0.3,3.2,3.3,1.9,3.4
200607,2.4,-2.3,2.8,0.4,3.6,3.3,2.1,3.2
200608,2.7,3.2,2.6,0.5,3.6,3.1,2.1,3.8
200609,2.5,1.3,1.7,0.7,4.8,2.9,2,3.5
200610,2.2,0.1,0.8,0.9,4.8,3,2,2.7
200611,2.1,1.6,0.8,1.1,3.8,2.9,2.1,2.6
200612,2.1,1.4,0.7,1.3,3.9,2.9,2.1,2.6
200701,1.7,-0.8,0.5,1.5,2.9,2.9,2.1,1.9
200702,2.2,3.4,0.6,1.6,2.6,3.1,2.3,2.4
200703,2.2,1.6,1.1,1.7,2.6,3.3,2.4,2.5
200704,2.5,1.7,1.6,1.8,3.2,3.1,2.6,2.9
200705,2.3,1.8,1.1,1.8,3.6,3.1,2.2,3.1
200706,2.5,2.4,1.6,1.9,3.5,3,2.3,3.2
200707,2.5,3.5,1.4,1.9,3.1,3.1,2.3,3.3
200708,2,-2.6,1.4,2,3.1,3.2,2.3,2.4
200709,2.3,0.7,1.8,2,2.6,3.2,2.3,2.7
200710,3,4.4,2.8,1.8,2.6,3.3,2.4,3.9
200711,3.5,4.5,4.1,1.9,3.4,3.2,2.4,4.9
200712,3.6,2.6,4.8,1.9,3.3,3.3,2.4,4.8
200801,3.9,1.9,5.7,1.9,3,3.6,2.8,5.1
200802,3.6,-0.6,5.6,1.9,3.3,3.5,2.8,4.6
200803,3.9,-1.3,6.3,2,3.3,3.9,3.3,4.9
200804,4.1,-0.2,6.7,2.1,3,4.1,3.5,5.1
200805,4.9,1.2,8.5,2.2,2.5,4.4,3.9,5.9
200806,5.5,1.3,10.5,2.4,2.5,4.8,4.3,7
200807,5.9,1.4,11.4,2.4,2.2,5,4.6,7.1
200808,5.6,3.5,9.7,2.4,2.3,5.2,4.7,6.6
200809,5.1,-0.9,9.3,2.4,1.6,5.3,5.1,5.5
200810,4.8,-3.3,9.1,2.6,1.8,5.4,5.2,4.8
200811,4.5,0.8,6.3,2.5,2.1,5.5,5.3,4
200812,4.1,2.5,4.9,2.4,1.8,5.4,5.6,3
200901,3.7,5.9,3.3,2.3,2.2,4.8,5.2,2.8
200902,4.1,5.4,5,2.1,1.8,4.4,5.2,3.3
200903,3.9,10.1,4.7,1.9,1.8,3.2,4.5,3.1
200904,3.6,12.2,3.4,1.7,1.6,3.2,4.2,3
200905,2.7,10.8,1.4,1.7,1.6,2.9,3.9,1.8
200906,2,6.6,0.3,1.4,1.7,2.6,3.5,0.5
200907,1.6,5.7,-0.3,1.3,2.3,2.3,3.2,0.3
200908,2.2,4.9,1.4,1.3,2.4,2.2,3.1,1.3
200909,2.2,4.4,1.8,1.3,2.4,2.1,2.7,1.7
200910,2,5.5,1.1,1.1,2.3,2,2.6,1.5
200911,2.4,2.8,3.7,1.1,1.5,2,2.5,2.3
200912,2.8,3.4,4.6,1.2,1.8,2,2.2,3.3
201001,3.5,3.4,6.1,1.3,2,2.2,2.3,4.2
201002,3,5.2,4.1,1.5,2.1,2.5,2.1,3.8
201003,2.5,4.3,3.4,1.6,1.7,1.9,1.6,3
201004,2.6,4.6,3.8,1.7,1.5,1.9,1.6,2.9
201005,2.7,4.7,3.8,1.7,1.6,2.1,1.6,3.1
201006,2.7,7.2,2.9,1.9,1.4,2,1.6,2.9
201007,2.5,7.1,2.7,2,0.8,2.2,1.7,2.7
201008,2.7,10,2.5,1.9,0.8,2.3,1.8,2.8
201009,3.4,20.3,2,2,0.8,2.3,1.8,3.9
201010,3.7,21.6,2.7,2.2,0.7,2.3,1.7,4.4
201011,3,18,1.6,2.3,0.7,2.4,1.5,3.4
201012,3,14.8,2.6,2.4,0.6,2.2,1.7,3.5
201101,3.4,16.3,3,2.5,0.4,2.7,2.1,4.1
201102,3.9,17.1,3.7,2.6,0.3,3.1,2.6,4.6
201103,4.1,14.6,4.5,3.1,-0.4,3.8,3,4.7
201104,3.8,9.5,4.3,3.4,-0.4,3.9,3,4.1
201105,3.9,7.2,4.8,3.7,-0.4,3.9,3.2,4
201106,4.2,10.7,4.9,4,-0.4,4,3.5,4.5
201107,4.5,12.4,5.3,4.1,-0.2,3.9,3.6,4.9
201108,4.7,13.3,5.4,4.4,-0.2,3.9,3.5,5.2
201109,3.8,3.4,5.7,4.6,-0.9,3.9,3.3,3.8
201110,3.6,-0.9,5.7,4.9,-1,4,3.2,3.6
201111,4.2,3.4,6.4,5.1,-1.2,3.7,3.5,4.5
201112,4.2,5.8,5.3,5,-0.8,3.8,3.6,4.4
201201,3.4,3.8,4.5,5.1,-0.6,3.1,3.1,3.1
201202,3,0.1,4.7,5,-0.5,2.6,2.5,2.6
201203,2.7,2.9,4.1,4.9,0.7,0.8,1.9,2.1
201204,2.6,4,3.9,4.8,0.6,0.7,1.7,2.1
201205,2.5,7,3.5,4.6,0.6,0.6,1.6,2.2
201206,2.2,5.1,3,4.3,0.8,0.6,1.5,1.8
201207,1.5,1.1,1.3,4.2,0.3,0.7,1.2,0.8
201208,1.3,-1.8,1.6,4,0.3,0.8,1.2,0.6
201209,2.1,4.7,2.4,3.8,1,0.6,1.5,1.8
201210,2.1,6.2,2.2,3.5,1.1,0.7,1.6,1.7
201211,1.6,3.2,1.5,3.3,1.3,0.8,1.4,1
201212,1.4,2,1.3,3.2,1,0.8,1.1,0.8
201301,1.6,2.6,1.1,3.1,1,1.3,1.3,1.1
201302,1.6,4.1,0.7,3,1,1.4,1.4,1.2
201303,1.5,-0.1,0.7,2.8,0.8,1.9,1.6,1
201304,1.3,0.9,0.1,2.7,0.8,1.9,1.6,0.9
201305,1.2,-0.8,-0.1,2.6,0.9,1.9,1.7,0.5
201306,1.2,-1.8,0.5,2.6,0.7,1.8,1.6,0.6
201307,1.6,0.9,1.6,2.5,0.4,1.7,1.7,1.1
201308,1.5,3.1,0.8,2.6,0.4,1.7,1.5,1.1
201309,1,-3.4,0.9,2.6,0.4,1.6,1.7,0.2
201310,0.9,-5.2,1.1,2.6,0.5,1.4,1.8,0
201311,1.2,-3.6,1.6,2.5,0.6,1.4,2,0.5
201312,1.1,-4.2,1.6,2.5,0.7,1.2,1.9,0.5
201401,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
201402,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
201403,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
201404,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
201405,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
201406,1.7,-1,1.9,2.4,0.7,1.8,2.1,1.4
201407,1.6,-2.2,1.9,2.3,1.1,1.8,2.2,1.4
201408,1.4,-4.8,2.1,2.2,0.8,1.9,2.4,0.8
201409,1.1,-3,0.9,2.2,0.9,1.9,1.9,0.6
201410,1.1,-1.9,0.6,2.2,0.8,1.9,1.8,0.7
201411,1,-0.1,-0.1,2.2,0.8,1.8,1.6,0.7
201412,0.8,1,-0.6,2.2,0.6,1.8,1.6,0.3
201501,1,1.7,0.2,2.7,0.5,1.9,2.6,-0.3
201502,0.6,1.8,-0.8,2.6,0.4,1.9,2.4,-0.6
201503,0.5,-0.1,-0.4,2.5,0.6,1.9,2.2,-0.6
201504,0.4,0.2,-0.5,2.4,0.7,1.9,2.1,-0.7
201505,0.6,2.7,-0.3,2.5,0.7,1.8,2.1,-0.5
201506,0.7,3.6,0,2.5,0.7,1.8,2,-0.1
201507,0.7,3,-0.1,2.6,1.7,1.9,2.1,-0.1
201508,0.7,2.7,-0.1,2.6,2,1.8,2.1,-0.1
201509,0.5,1.3,-0.5,2.6,1.8,1.8,2,-0.3
201510,0.8,3,-0.4,2.5,1.8,2,2.2,0.1
201511,0.8,1.3,-0.1,2.5,1.8,2,2.2,0.1
201512,1.1,2.7,0.3,2.5,1.9,2.2,2.3,0.5
201601,0.6,1.5,-1.1,2,2,2.5,1.6,0.4
201602,1.1,5,-0.7,2,2.1,2.7,1.7,1
201603,0.8,4.6,-1.4,2,1.9,2.7,1.7,0.5
201604,1,4.3,-0.7,1.9,1.9,2.5,1.9,0.6
201605,0.8,0.6,-0.9,1.9,1.9,2.8,0.4,1.8
201606,0.7,-1.4,-0.6,1.9,1.9,2.8,1.8,0.3
201607,0.4,-0.3,-0.8,1.8,1,2.8,1.3,0.3
201608,0.5,0.5,-0.7,1.8,1,2.9,1.3,-0.2
201609,1.3,9.1,0,1.8,1,2.9,1.5,1
201610,1.5,7.7,0.4,1.7,0.9,2.7,1.8,1.4
201611,1.5,8,0.2,1.7,0.9,2.7,1.6,1.6
201612,1.3,6.7,0.6,1.7,0.9,2.7,1.2,1.2
201701,2,8.5,1.6,1.7,1.1,2.8,1.5,2.4
201702,1.9,4.3,2.4,1.7,1.1,2.7,1.5,2.3
201703,2.2,5.8,2.4,1.7,1,2.7,1.4,2.8
201704,1.9,4.5,1.5,1.8,1.1,2.8,1.3,2.5
201705,2,6.2,1.4,1.8,1.1,2.4,1.4,2.5
201706,1.9,7.6,0.9,1.8,1,2.3,1.4,2.3
201707,2.2,8.6,0.7,1.7,1,2.4,1.8,3.1
201708,2.6,12.2,1,1.6,0.9,2.3,1.8,3.7
201709,2.1,4.8,1.2,1.5,1,2.3,1.6,2.9
201710,1.8,3,1.5,1.5,0.9,2.7,1.3,2
201711,1.3,0.7,1.4,1.4,0.8,2.4,1.2,1.3
201712,1.5,0.5,1.5,1.2,0.8,2.4,1.5,1.6
