"Date","소비자물가"
"2003-01",3.8
"2003-02",3.9
"2003-03",4.5
"2003-04",3.7
"2003-05",3.2
"2003-06",3
"2003-07",3.2
"2003-08",3
"2003-09",3.3
"2003-10",3.7
"2003-11",3.4
"2003-12",3.4
"2004-01",3.4
"2004-02",3.3
"2004-03",3.1
"2004-04",3.3
"2004-05",3.3
"2004-06",3.6
"2004-07",4.4
"2004-08",4.8
"2004-09",3.9
"2004-10",3.8
"2004-11",3.3
"2004-12",3
"2005-01",3.4
"2005-02",3.4
"2005-03",3
"2005-04",3.1
"2005-05",3.1
"2005-06",2.8
"2005-07",2.6
"2005-08",2
"2005-09",2.5
"2005-10",2.3
"2005-11",2.5
"2005-12",2.6
"2006-01",2.2
"2006-02",2
"2006-03",2
"2006-04",2
"2006-05",2.3
"2006-06",2.4
"2006-07",2.4
"2006-08",2.7
"2006-09",2.5
"2006-10",2.2
"2006-11",2.1
"2006-12",2.1
"2007-01",1.7
"2007-02",2.2
"2007-03",2.2
"2007-04",2.5
"2007-05",2.3
"2007-06",2.5
"2007-07",2.5
"2007-08",2
"2007-09",2.3
"2007-10",3
"2007-11",3.5
"2007-12",3.6
"2008-01",3.9
"2008-02",3.6
"2008-03",3.9
"2008-04",4.1
"2008-05",4.9
"2008-06",5.5
"2008-07",5.9
"2008-08",5.6
"2008-09",5.1
"2008-10",4.8
"2008-11",4.5
"2008-12",4.1
"2009-01",3.7
"2009-02",4.1
"2009-03",3.9
"2009-04",3.6
"2009-05",2.7
"2009-06",2
"2009-07",1.6
"2009-08",2.2
"2009-09",2.2
"2009-10",2
"2009-11",2.4
"2009-12",2.8
"2010-01",3.5
"2010-02",3
"2010-03",2.5
"2010-04",2.6
"2010-05",2.7
"2010-06",2.7
"2010-07",2.5
"2010-08",2.7
"2010-09",3.4
"2010-10",3.7
"2010-11",3
"2010-12",3
"2011-01",3.4
"2011-02",3.9
"2011-03",4.1
"2011-04",3.8
"2011-05",3.9
"2011-06",4.2
"2011-07",4.5
"2011-08",4.7
"2011-09",3.8
"2011-10",3.6
"2011-11",4.2
"2011-12",4.2
"2012-01",3.4
"2012-02",3
"2012-03",2.7
"2012-04",2.6
"2012-05",2.5
"2012-06",2.2
"2012-07",1.5
"2012-08",1.3
"2012-09",2.1
"2012-10",2.1
"2012-11",1.6
"2012-12",1.4
"2013-01",1.6
"2013-02",1.6
"2013-03",1.5
"2013-04",1.3
"2013-05",1.2
"2013-06",1.2
"2013-07",1.6
"2013-08",1.5
"2013-09",1
"2013-10",0.9
"2013-11",1.2
"2013-12",1.1
"2014-01",1.1
"2014-02",1
"2014-03",1.3
"2014-04",1.5
"2014-05",1.7
"2014-06",1.7
"2014-07",1.6
"2014-08",1.4
"2014-09",1.1
"2014-10",1.1
"2014-11",1
"2014-12",0.8
"2015-01",1
"2015-02",0.6
"2015-03",0.5
"2015-04",0.4
"2015-05",0.6
"2015-06",0.7
"2015-07",0.7
"2015-08",0.7
"2015-09",0.5
"2015-10",0.8
"2015-11",0.8
"2015-12",1.1
"2016-01",0.6
"2016-02",1.1
"2016-03",0.8
"2016-04",1
"2016-05",0.8
"2016-06",0.7
"2016-07",0.4
"2016-08",0.5
"2016-09",1.3
"2016-10",1.5
"2016-11",1.5
"2016-12",1.3
"2017-01",2
"2017-02",1.9
"2017-03",2.2
"2017-04",1.9
"2017-05",2
"2017-06",1.9
"2017-07",2.2
"2017-08",2.6
"2017-09",2.1
"2017-10",1.8
"2017-11",1.3
"2017-12",1.5
