date,생산가능인구,경제활동인구,취업자,실업자,실업률,고용률,경제활동참가율
200301,"10,490","5,136","4,686",450,8.8,44.7,49
200302,"10,467","5,115","4,655",460,9,44.5,48.9
200303,"10,444","4,999","4,578",421,8.4,43.8,47.9
200304,"10,424","4,965","4,586",379,7.6,44,47.6
200305,"10,405","4,959","4,584",375,7.6,44.1,47.7
200306,"10,379","4,977","4,596",381,7.7,44.3,48
200307,"10,360","5,172","4,763",409,7.9,46,49.9
200308,"10,334","4,993","4,623",370,7.4,44.7,48.3
200309,"10,311","4,849","4,514",335,6.9,43.8,47
200310,"10,289","4,901","4,534",367,7.5,44.1,47.6
200311,"10,265","4,949","4,542",407,8.2,44.2,48.2
200312,"10,244","5,066","4,614",452,8.9,45,49.5
200401,"10,232","5,129","4,652",477,9.3,45.5,50.1
200402,"10,215","5,073","4,591",482,9.5,44.9,49.7
200403,"10,197","4,991","4,535",456,9.1,44.5,48.9
200404,"10,179","4,956","4,557",399,8,44.8,48.7
200405,"10,161","5,005","4,598",407,8.1,45.2,49.3
200406,"10,148","4,991","4,592",399,8,45.2,49.2
200407,"10,137","5,124","4,718",405,7.9,46.5,50.5
200408,"10,120","4,857","4,487",370,7.6,44.3,48
200409,"10,103","4,916","4,570",346,7,45.2,48.7
200410,"10,086","4,930","4,555",375,7.6,45.2,48.9
200411,"10,065","4,930","4,551",380,7.7,45.2,49
200412,"10,043","4,978","4,534",444,8.9,45.1,49.6
200501,"10,019","5,008","4,554",463,9.3,45.4,50
200502,"9,998","4,963","45,514",449,9,45.1,49.6
200503,"9,974","4,894","4,464",431,8.8,44.8,49.1
200504,"9,949","4,854","4,458",396,8.2,44.8,48.8
200505,"9,926","4,858","4,499",360,7.4,45.3,48.9
200506,"9,905","4,851","4,475",376,7.8,45.2,49
200507,"9,898","5,004","4,588",416,8.3,46.4,50.6
200508,"9,891","4,769","4,415",354,7.4,44.6,48.2
200509,"9,883","4,686","4,351",336,7.2,44,47.4
200510,"9,874","4,718","4,378",340,7.2,44.3,47.8
200511,"9,866","4,699","4,355",344,7.3,44.1,47.6
200512,"9,853","4,730","4,354",376,7.9,44.2,48
200601,"9,850","4,809","4,425",383,8,44.9,48.8
200602,"9,845","4,717","4,307",410,8.7,43.7,47.9
200603,"9,839","4,642","4,250",393,8.5,43.2,47.2
200604,"9,836","4,632","4,263",369,8,43.3,47.1
200605,"9,835","4,622","4,292",330,7.1,43.6,47
200606,"9,835","4,626","4,258",369,8,43.3,47
200607,"9,843","4,783","4,400",383,8,44.7,48.6
200608,"9,848","4,587","4,250",337,7.3,43.2,46.6
200609,"9,847","4,518","4,191",328,7.3,42.6,45.9
200610,"9,849","4,528","4,164",364,8,42.3,46
200611,"9,845","4,550","4,207",343,7.5,42.7,46.2
200612,"9,842","4,596","4,234",362,7.9,43,46.2
200701,"9,848","4,674","4,328",346,7.4,43.9,47.5
200702,"9,849","4,597","4,239",359,7.8,43,46.7
200703,"9,853","4,479","4,145",334,7.5,42.1,45.5
200704,"9,855","4,516","4,171",345,7.6,42.3,45.8
200705,"9,863","4,540","4,222",318,7,42.8,46
200706,"9,872","4,548","4,220",328,7.2,42.7,46.1
200707,"9,866","4,697","4,341",356,7.6,44,47.6
200708,"9,861","4,512","4,210",302,6.7,42.7,45.8
200709,"9,855","4,411","4,104",308,7,41.6,44.8
200710,"9,853","4,446","4,156",290,6.5,42.2,45.1
200711,"9,846","4,502","4,180",321,7.1,42.5,45.7
200712,"9,839","4,438","4,113",324,7.3,41.8,45.1
200801,"9,846","4,541","4,217",324,7.1,42.8,46.1
200802,"9,840","4,437","4,111",326,7.3,41.8,45.1
200803,"9,833","4,395","4,062",333,7.6,41.3,44.7
200804,"9,827","4,421","4,091",330,7.5,41.6,45
200805,"9,821","4,461","4,154",307,6.9,42.3,45.4
200806,"9,816","4,453","4,106",346,7.8,41.8,45.4
200807,"9,819","4,536","4,202",334,7.4,42.8,46.2
200808,"9,816","4,403","4,091",312,7.1,41.7,44.9
200809,"9,813","4,284","4,021",263,6.1,41,43.7
200810,"9,810","4,278","3,994",284,6.6,40.7,43.6
200811,"9,811","4,291","4,000",291,6.8,40.8,43.7
200812,"9,809","4,283","3,959",324,7.6,40.4,43.7
200901,"9,824","4,334","3,977",356,8.2,40.5,44.1
200902,"9,814","4,287","3,915",372,8.7,39.9,43.7
200903,"9,803","4,238","3,863",375,8.8,39.4,43.2
200904,"9,794","4,326","3,978",348,8,40.6,44.2
200905,"9,789","4,376","4,042",333,7.6,41.3,44.7
200906,"9,783","4,407","4,035",372,8.4,41.2,45
200907,"9,778","4,469","4,090",379,8.5,41.8,45.7
200908,"9,774","4,316","3,965",352,8.2,40.6,44.2
200909,"9,764","4,211","3,891",320,7.6,39.8,43.1
200910,"9,755","4,167","3,855",311,7.5,39.5,42.7
200911,"9,747","4,246","3,921",325,7.7,40.2,43.6
200912,"9,739","4,270","3,946",324,7.6,40.5,43.8
201001,"9,760","4,403","3,991",411,9.3,40.9,45.1
201002,"9,747","4,332","3,900",433,10,40,44.4
201003,"9,736","4,210","3,831",379,9,39.3,43.2
201004,"9,724","4,271","3,905",366,8.6,40.2,43.9
201005,"9,720","4,301","4,027",274,6.4,41.4,44.3
201006,"9,712","4,305","3,950",355,8.3,40.7,44.3
201007,"9,707","4,448","4,072",376,8.5,41.9,45.8
201008,"9,696","4,205","3,910",295,7,40.3,43.4
201009,"9,680","4,131","3,833",298,7.2,39.6,42.7
201010,"9,667","4,102","3,814",288,7,39.5,42.4
201011,"9,659","4,133","3,868",266,6.4,40,42.8
201012,"9,657","4,206","3,870",336,8,40.1,43.6
201101,"9,649","4,283","3,920",363,8.5,40.6,44.4
201102,"9,637","4,220","3,863",357,8.5,40.1,43.8
201103,"9,628","4,189","3,793",397,9.5,39.4,43.5
201104,"9,614","4,199","3,832",366,8.7,39.9,43.7
201105,"9,614","4,240","3,930",311,7.3,40.9,44.1
201106,"9,596","4,217","3,897",320,7.6,40.6,43.9
201107,"9,583","4,361","4,028",332,7.6,42,45.5
201108,"9,572","4,214","3,950",265,6.3,41.3,44
201109,"9,552","4,090","3,834",256,6.3,40.1,42.8
201110,"9,538","4,110","3,834",276,6.7,40.2,43.1
201111,"9,532","4,110","3,832",279,6.8,40.2,43.1
201112,"9,550","4,154","3,833",321,7.7,40.1,43.5
201201,"9,548","4,238","3,899",339,8,40.8,44.4
201202,"9,539","4,212","3,862",350,8.3,40.5,44.2
201203,"9,528","4,166","3,818",347,8.3,40.1,43.7
201204,"9,513","4,214","3,857",357,8.5,40.5,44.3
201205,"9,512","4,253","3,911",342,8,41.1,44.7
201206,"9,495","4,191","3,868",323,7.7,40.7,44.1
201207,"9,499","4,313","3,998",314,7.3,42.1,45.4
201208,"9,502","4,133","3,868",265,6.4,40.7,43.5
201209,"9,502","4,045","3,775",270,6.7,39.7,42.6
201210,"9,504","4,017","3,741",276,6.9,39.4,42.3
201211,"9,514","4,033","3,762",271,6.7,39.5,42.4
201212,"9,548","4,059","3,755",304,7.5,39.3,42.5
201301,"9,540","4,129","3,817",311,7.5,40,43.3
201302,"9,549","4,092","3,721",371,9.1,39,42.9
201303,"9,545","4,037","3,691",346,8.6,38.7,42.3
201304,"9,546","4,064","3,724",340,8.4,39,42.6
201305,"9,550","4,133","3,826",307,7.4,40.1,43.3
201306,"9,558","4,149","3,822",327,7.9,40,43.4
201307,"9,556","4,248","3,897",352,8.3,40.8,44.5
201308,"9,552","4,121","3,808",313,7.6,39.9,43.1
201309,"9,548","4,132","3,813",320,7.7,39.9,43.3
201310,"9,544","4,092","3,773",318,7.8,39.5,42.9
201311,"9,543","4,125","3,816",309,7.5,40,43.2
201312,"9,540","4,163","3,808",355,8.5,39.9,44.7
201401,"9,530","4,263","3,891",372,8.7,40.8,44.7
201402,"9,527","4,342","3,869",473,10.9,40.6,45.6
201403,"9,519","4,172","3,760",412,9.9,39.5,43.8
201404,"9,512","4,243","3,817",426,10,40.1,44.6
201405,"9,507","4,215","3,849",366,8.7,40.5,44.3
201406,"9,501","4,271","3,864",407,9.5,40.7,44.9
201407,"9,496","4,395","4,004",391,8.9,42.2,46.3
201408,"9,497","4,318","3,955",364,8.4,41.6,45.5
201409,"9,493","4,223","3,865",358,8.5,40.7,44.5
201410,"9,485","4,186","3,850",336,8,40.6,44.1
201411,"9,483","4,198","3,865",332,7.9,40.8,44.3
201412,"9,480","4,230","3,849",381,9,40.6,44.6
201501,"9,482","4,313","3,918",395,9.2,41.3,45.5
201502,"9,488","4,383","3,899",484,11.1,41.1,46.2
201503,"9,490","4,254","3,799",455,10.7,40,44.8
201504,"9,495","4,347","3,902",445,10.2,41.1,45.8
201505,"9,499","4,369","3,963",406,9.3,41.7,46
201506,"9,502","4,384","3,935",449,10.2,41.4,46.1
201507,"9,495","4,442","4,026",416,9.4,42.4,46.8
201508,"9,489","4,335","3,990",345,8,42,45.7
201509,"9,484","4,296","3,956",341,7.9,41.7,45.3
201510,"9,477","4,268","3,951",318,7.4,41.7,45
201511,"9,470","4,304","3,955",349,8.1,41.8,45.4
201512,"9,465","4,325","3,959",365,8.4,41.8,45.7
201601,"9,453","4,356","3,942",413,9.5,41.7,46.1
201602,"9,451","4,477","3,916",560,12.5,41.4,47.4
201603,"9,452","4,395","3,875",520,11.8,41,46.5
201604,"9,448","4,428","3,945",484,10.9,41.8,46.9
201605,"9,449","4,469","4,036",433,9.7,42.7,47.3
201606,"9,444","4,533","4,066",467,10.3,43.1,48
201607,"9,432","4,533","4,114",419,9.2,43.6,48.1
201608,"9,421","4,462","4,046",416,9.3,42.9,47.4
