"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",13.4123019626238,12.2556054148841,1.09438102064994,0.276644885908133
"쌀",0.0196919836046299,0.0124359321325576,1.58347467602173,0.116745033117409
"돼지고기",0.00615292950000254,0.00417980635800252,1.47206089780268,0.144417127719463
"쇠고기국산",0.00592385515469641,0.00859362242779121,0.689331560057729,0.492349606251978
"우유",0.00240607035298451,0.00902290903533156,0.266662375023721,0.790325907942615
"라면",-0.0265044623396142,0.0138106076674775,-1.91913802620208,0.058066409194778
"스낵과자",0.0175899462459675,0.0116999774054228,1.50341711239671,0.136156621038844
"달걀",0.00526598904040441,0.00263759078632863,1.99651479967988,0.0488336905760097
"닭고기",0.000295568716386789,0.00314178550693337,0.0940766693762259,0.925252839885049
"두부",0.015101554146144,0.0125771073750251,1.20071759712665,0.232943172272462
"마른멸치",0.0104442060159987,0.0107069217531061,0.975463000181989,0.331888596526745
"고등어",-0.00311941308907469,0.00250031589952569,-1.24760758817174,0.215341139810343
"파",-0.00108822180338216,0.000888703796861898,-1.22450450557855,0.223888229357185
"참기름",0.000780165660555756,0.00478075550240789,0.163188780552115,0.870727734898633
"맛김",-0.00327023819339446,0.0110642778903634,-0.295567250370918,0.768226646620346
"콩나물",0.00408655902719344,0.0143002598367453,0.285768166022607,0.775698126833704
"탄산음료",0.0137862363493699,0.0153419232425391,0.898598965163918,0.371212129292872
"밀가루",0.00215883009087374,0.00505088521604694,0.427416185189681,0.670074951959373
"담배국산",0.00230872671513913,0.00780780196649572,0.295694835120841,0.768129509918627
"맥주",0.0387983077196233,0.0204250576381828,1.89954458914688,0.0606256034858751
"소주",0.0133836447105406,0.0151485719152653,0.883492172424109,0.379273306514345
"세탁료",-0.0207626023188272,0.0386647088970406,-0.536991041989103,0.592570135937487
"전세",-0.0718031563611822,0.0538061932634277,-1.33447753885215,0.185340900160458
"월세",-0.0652612332215702,0.0864566617888929,-0.754843315381791,0.452271007432314
"전기료",0.0018951013719807,0.00980564009498402,0.193266462324078,0.847176329694271
