"","쌀","돼지고기","쇠고기국산","우유","라면","스낵과자","달걀","닭고기","두부","마른멸치","고등어","파","참기름","맛김","콩나물","탄산음료","밀가루","담배국산","맥주","소주","세탁료","전세","월세","전기료","도시가스","상수도료","세탁세제","치과진료비","감기약","휘발유","시내버스료","도시철도료","휴대전화료","영화관람료","삼겹살외식","설렁탕","미용료","목욕료","외래진료비","취업자증감","농림어업","제조업","건설업","서비스업","실업자.x","실업률.x","청년실업자","청년실업률","총지수","식료품","비주류음료","주류","담배","의류","신발","주택임차료","주거시설유지보수","수도및주거관련서비스","전기가스및기타연료","가구가사비품및카페트","가정용섬유제품","가정용기기","주방용품및가정용품","가정정원용공구및장비","일상생활용품및가사서비스","의료용품및장비","외래환자서비스","병원서비스","운송장비","개인운송장비운영","운송서비스","우편서비스","전화및팩스장비","전화및팩스서비스","음향영상사진및정보처리장비","기타오락및문화용주요내구재","기타오락용품조경용품및애완동물","오락및문화서비스","신문서적및문방구","단체여행","유치원및초등교육","중등교육","고등교육","기타교육","음식서비스","숙박서비스","미용용품및미용서비스","기타개인용품","기타서비스","소비자물가","농축수산물","공업제품","집세","공공서비스","개인서비스","근원물가","생활물가","생산가능인구","경제활동인구","취업자","고용률","경제활동참가율"
"쌀",1,0.912442227789301,0.834817830845878,0.946590930011996,0.934858532286124,0.945012703129618,0.915495591911147,0.902446301828638,0.965340516731459,0.940748173223784,0.856901997051025,0.799128121784529,0.925184892063032,0.942588754353537,0.946746437400068,0.938069740551357,0.894550138392117,0.809328352772457,0.922784488168571,0.892363256007451,0.941348733745025,0.928296040576935,0.958489633645722,0.985231465451096,0.957561665700852,0.958932864944367,0.464807683994343,0.917221305195095,0.925822020212822,0.862261087629649,0.920783804515681,0.915442657952915,-0.954027717465486,0.927325354762025,0.949120854918819,0.938744913813401,0.951122366765529,0.949075197270959,0.909073471311894,0.861136272527742,0.574105956877214,0.85510042524778,0.318415185357299,0.487218823896039,0.564073035785864,-0.328193297814401,-0.17361824715449,0.597472218537031,0.942438180345601,0.943346389709405,0.951273976824388,0.920327532982392,0.810710732384482,0.943458462761148,0.940977096637317,0.935390123292077,0.9387168250018,0.928179795939038,0.956523261200989,0.933757456762982,0.961116201575987,0.00248021768613398,0.942665423669519,0.951856741747452,0.947977707189432,0.943563539803831,0.928661533561137,0.939314714478873,0.943321615100157,0.887441004514534,0.928935626521726,0.928429457537444,-0.890416827183815,-0.954484661796541,-0.925450300597191,0.951590466174524,0.933351469533838,0.939535827012974,0.943284769442546,0.953545437634013,0.572391725071058,-0.598036899936816,0.876372286353688,0.936376353753518,0.935467058439662,0.947831451601694,0.951639052164559,0.939958030310462,-0.187493932767538,-0.87838011110433,-0.629094294045801,-0.737226023662689,0.822344194019313,-0.937071014017121,-0.942069918285535,-0.804486392052762,-0.940753371526451,-0.491991572695766,-0.896693023595474,-0.92991997283635,-0.869966273840456,-0.794870433036578
"돼지고기",0.912442227789301,1,0.969378257755649,0.989486802578503,0.985711068473458,0.991624810620663,0.995344883761142,0.960342033308538,0.983448513699758,0.984011733949265,0.884719053803765,0.882561275297556,0.980805631508287,0.991801570157553,0.984046541800917,0.988448979230859,0.944898486089935,0.928866857845348,0.975911987584268,0.990350320770546,0.983016344922572,0.982441793616908,0.982882416564365,0.883946437283016,0.933097816861642,0.98420217936712,0.440094324411534,0.966873763926815,0.99403673983119,0.826805829626052,0.990415634853453,0.989607702400136,-0.985150083730793,0.985411749024,0.991026537150716,0.990349393508222,0.984956348895696,0.988112965488153,0.945890925529109,0.801554283682148,0.592751396459511,0.765228682645324,0.304587246701945,0.437759863958236,0.660601448974576,-0.245341081405084,-0.155018585635719,0.639859076717259,0.988780323112611,0.988676506803134,0.984929588000422,0.989076907798772,0.928990123279626,0.984132120807146,0.98813565922074,0.981340553245816,0.990426657892675,0.983758060977957,0.941617706776989,0.989713319659504,0.976814112875467,0.0246759977307394,0.988489787172253,0.985070041518608,0.984859488185537,0.987654207605528,0.986027775291832,0.988236062329015,0.975541078173042,0.872822651941425,0.989119018701138,0.982444623637587,-0.958135226927582,-0.981761764870491,-0.975685553778285,0.982997636706486,0.985748486042958,0.988107585417435,0.986940167506538,0.972611443119899,0.680878623360272,-0.456520237699494,0.938590918973271,0.989270095004536,0.990512742718819,0.978912579903843,0.983266867896422,0.98812433793355,0.0345129434736616,-0.886322674771538,-0.502585789448612,-0.742138715759269,0.704587013842076,-0.936128575134839,-0.933801871055567,-0.833277498218377,-0.937229159710455,-0.450179300455272,-0.896613416156719,-0.938119673809058,-0.877860765158234,-0.79105527028814
"쇠고기국산",0.834817830845878,0.969378257755649,1,0.955297426714345,0.943114564160225,0.958836039497091,0.963669093280162,0.899503485520947,0.938903237227644,0.941832555021804,0.789953251590835,0.885347925092285,0.934866601130633,0.965315183146381,0.961463870162439,0.972357779275011,0.877872703495025,0.974491759456365,0.97105225621251,0.9898928548068,0.935595427783882,0.974771096798197,0.953894502793961,0.824690906681602,0.853697195155161,0.94991524000359,0.285041315149645,0.910441955076165,0.975675298913961,0.707185666105469,0.980542505884266,0.982230770925516,-0.942905593813666,0.976829064905993,0.960500363107701,0.970472319221958,0.962457371424914,0.96289193870514,0.942561752421982,0.738378565277734,0.485989026082578,0.725771621520379,0.372267083871818,0.354723081274101,0.7595502785976,-0.0898541818889211,-0.00480631858252588,0.732503685979343,0.958020503765149,0.956477595058661,0.948471200671942,0.977885181189943,0.973448696143796,0.964775031715953,0.965388253191414,0.968176342372568,0.9618578537474,0.974697535555352,0.870176674060522,0.958641074809765,0.934874899454053,0.149565736415778,0.962961246807005,0.954206439406717,0.944273520345923,0.963009243842116,0.951024430702768,0.959130794064131,0.933769703246959,0.768142859107653,0.971610376376173,0.971214942649821,-0.912111326360962,-0.938960896139594,-0.931768862086385,0.950561316968523,0.969199287362417,0.966011626532779,0.963619167303829,0.916416577751095,0.591011780763788,-0.453459612060739,0.87723870367712,0.967207461693756,0.965709403367095,0.957042867372971,0.956124386925393,0.961452447823663,-0.00638061046138371,-0.915990227200416,-0.480773450673577,-0.814607536908546,0.562324093733352,-0.854127038081575,-0.905253311565451,-0.879080536048725,-0.933800663875215,-0.494425541649718,-0.807696592954726,-0.86860918192434,-0.794816301128832,-0.685575010949686
"우유",0.946590930011996,0.989486802578503,0.955297426714345,1,0.996392653996773,0.999309310090758,0.99243538959962,0.972425082330156,0.995868887834224,0.996556648646227,0.901282873857641,0.897983868280613,0.990880174143552,0.996974260889138,0.985567722631317,0.990883643528558,0.95990730529166,0.905724436833233,0.973623243335445,0.984610845445447,0.996027919772001,0.98087561094564,0.991476472847008,0.928838477417048,0.966340893771272,0.997160044944877,0.482288203234147,0.980483484734806,0.994668391118161,0.865777183780643,0.989958194797692,0.987887281756266,-0.998244819596481,0.985951479529031,0.996577345738954,0.992719717650735,0.991549611769025,0.995236844279521,0.941664733629386,0.821869320986099,0.619262196327098,0.809088984777804,0.284766874576779,0.432609239614534,0.647582725985559,-0.270453846429607,-0.186616845555657,0.631114644813075,0.996514065687212,0.995708043621353,0.996396416497122,0.98968061795636,0.906732329486896,0.990263230665136,0.993301523034998,0.983010932250746,0.996329403326591,0.986419561629043,0.972644774759879,0.995912305615232,0.989135627161796,-0.0226216487364948,0.994090125827224,0.995289595887083,0.996749592206417,0.994560074266106,0.994861968088067,0.996552534550213,0.991742091403553,0.90601869172769,0.992723316729617,0.984292983094601,-0.971829898838053,-0.995671717027181,-0.989321420172029,0.996212530647046,0.989699805627493,0.992116165511849,0.993297494938658,0.988287637253639,0.693290887595091,-0.455983812423731,0.954643260113753,0.994505600990081,0.994574183539229,0.983986977551539,0.992784784996582,0.995429362547681,0.0112680950239115,-0.901460234129768,-0.549338903562268,-0.748037690420463,0.741469598862491,-0.953215456300373,-0.965724579612701,-0.844387835411659,-0.959725571299569,-0.426023619429041,-0.929285944534208,-0.966981074124804,-0.914175521040117,-0.832590642990024
"라면",0.934858532286124,0.985711068473458,0.943114564160225,0.996392653996773,1,0.995453057371533,0.991719109187198,0.984464668887519,0.989972711745256,0.997498641815633,0.919130470087646,0.903823338532079,0.995314627603998,0.99020908452774,0.971148795074056,0.978512105887686,0.978237188111392,0.879398050846558,0.955602963790203,0.977317069485196,0.999133827983869,0.964709970804685,0.979615484337697,0.911982172302244,0.973788544687225,0.990599504291693,0.540656861024998,0.991814252863679,0.988445695412374,0.89386870779205,0.980657332037884,0.978172236357485,-0.996293279439267,0.971885227963634,0.988679030128314,0.982302544258851,0.978579676543336,0.985585880205656,0.918370598350523,0.804454400456726,0.660664713091732,0.788570560081382,0.228892017495304,0.423013485150537,0.602679207191079,-0.316752346550058,-0.256300437870396,0.575752647176016,0.991691926801259,0.990411760369476,0.991922267398727,0.980552774351167,0.880753389369954,0.978322763675565,0.984152512595186,0.967999554252915,0.991108016529729,0.9733698293491,0.978548665838738,0.993646436201619,0.981675484268791,-0.0923242369462294,0.986267573568422,0.988121795672171,0.995083302717236,0.98572790233294,0.996199562221495,0.992423243503152,0.992661905166024,0.930104258800748,0.98526651546969,0.971214990762195,-0.98476482117301,-0.993313557613271,-0.995350106425904,0.990080558671508,0.979011323310353,0.982319894867669,0.983853745796378,0.98974558721136,0.746446449158457,-0.392196042925316,0.974077272003355,0.987137040814996,0.988035429099422,0.969503539155075,0.982773040361017,0.989353480331921,0.0867374481924772,-0.8661011198436,-0.527959670328009,-0.693354287307051,0.75835074166668,-0.959356480827696,-0.956318026730921,-0.809440113441116,-0.936634215692082,-0.365164522029387,-0.950412964546686,-0.978896025921879,-0.938742939517004,-0.869046069364377
"스낵과자",0.945012703129618,0.991624810620663,0.958836039497091,0.999309310090758,0.995453057371533,1,0.993916915455285,0.967575966046981,0.996075909241445,0.995159197965263,0.893045546469929,0.898087342568158,0.987876560864646,0.998754977899681,0.988924615919966,0.993478984065691,0.956734040688916,0.913498610198121,0.978347608958622,0.98740646260918,0.994253646209404,0.984939315771113,0.993517123430136,0.925425395206146,0.960926021066529,0.997501963498754,0.465569209350233,0.978717181486133,0.996959295084254,0.857366001532225,0.992482154309944,0.990297432483282,-0.997517360287747,0.988978268598466,0.997943034792905,0.995306841846593,0.993444667116656,0.996949507766614,0.949048623907978,0.818470665536769,0.610132909901552,0.803460728324984,0.302286131931815,0.426586221271376,0.649806713823398,-0.268775178086075,-0.176451454696343,0.63631259329814,0.997289731008889,0.996584286622687,0.99665940177644,0.992296663954816,0.914413428747077,0.992449419361248,0.994992062600982,0.986504989720453,0.99710441283736,0.988903607950599,0.967797611701626,0.996792232272817,0.990451566605079,-0.00246427767620389,0.996082054600141,0.996394410085344,0.996165805637261,0.995653787595578,0.99447690209667,0.997129164403139,0.991413283098768,0.899390998150152,0.994365811803949,0.987062744065424,-0.968066188101133,-0.995136860623241,-0.987600245431595,0.995952639222327,0.991951596983623,0.994170135176026,0.995073010435765,0.987148303119139,0.683950846845395,-0.46906171281492,0.950132137987339,0.996046666511,0.99620507013048,0.986989335462748,0.99419349062302,0.996569408007506,0.00322591945594309,-0.902165692126196,-0.544730418435458,-0.752521497275947,0.743174298354746,-0.952179886921162,-0.960636140929625,-0.845913047593057,-0.958795486829199,-0.44405019192037,-0.922979077040099,-0.961933603342606,-0.906618107534157,-0.823191252085068
"달걀",0.915495591911147,0.995344883761142,0.963669093280162,0.99243538959962,0.991719109187198,0.993916915455285,1,0.971346808310507,0.985635242356336,0.990110939146744,0.898010013167833,0.896322355754058,0.986606217703265,0.9922787727953,0.980745789265878,0.98591495975562,0.955484107224221,0.912660028892801,0.971922163637042,0.989098567562984,0.988935478766242,0.977425896438391,0.982147779166687,0.88828640351022,0.946640490310778,0.986358676464628,0.471413730675728,0.976869603313911,0.993127234330277,0.849774686036213,0.987513491303804,0.986285648408178,-0.989304025859733,0.982192886563869,0.990925159485249,0.988776577146308,0.98321767102243,0.988009830491125,0.937867726773081,0.804706242924138,0.626055168278534,0.769633163064869,0.291698133545619,0.431200445878965,0.652305085557683,-0.252962647230375,-0.182185197590652,0.625702894554387,0.990435755770444,0.99050231783448,0.987277296641002,0.988399834038458,0.912913485425788,0.982500647537905,0.987078480508772,0.977319316395844,0.99120957378003,0.981463939145678,0.953294512261658,0.992005748055867,0.978989908542557,-0.0160768338963315,0.987438018245502,0.986273855398307,0.98857355337854,0.9868640214215,0.990612810133071,0.99050166098176,0.982475392499929,0.892469830006733,0.988046051949132,0.979549760705114,-0.967316174701174,-0.985693548541775,-0.982447678859483,0.986418399209683,0.985160979007203,0.986962648309399,0.986345178262813,0.977929893634541,0.704312312147166,-0.432218922197176,0.95096943422621,0.989042920142506,0.990501540920139,0.975760734395101,0.983143503495382,0.989302764148618,0.0587366309510282,-0.877291336870337,-0.502705421425781,-0.722720864783916,0.717092049969885,-0.944969709434147,-0.942172282055268,-0.828788379851238,-0.9339185961256,-0.421014956973121,-0.914790523535156,-0.953091238935301,-0.899156709921766,-0.816625481770424
"닭고기",0.902446301828638,0.960342033308538,0.899503485520947,0.972425082330156,0.984464668887519,0.967575966046981,0.971346808310507,1,0.963271201137249,0.981398215174986,0.962168457091476,0.897095275940904,0.992488078483221,0.956716693313815,0.926999833930484,0.936605045308071,0.984792736617213,0.807363615854017,0.905505209566006,0.940989868912944,0.986571198926561,0.914560592146307,0.940924582072458,0.875121057880964,0.973606118630447,0.957253845709222,0.652389896603314,0.991554965872495,0.954321085331825,0.929830400853098,0.938536714463156,0.935506546345354,-0.972663465774005,0.928976261271568,0.956114611299985,0.943342695980092,0.938938933777494,0.949741679854996,0.860872185110592,0.774719229613186,0.699903268716253,0.776439498551839,0.113101609351187,0.411957377324855,0.555224151330391,-0.332259352193697,-0.341334347927535,0.500190297500035,0.962192942533444,0.962092043390872,0.964747626701256,0.942603841247543,0.808515740574812,0.936497340836656,0.947017674993541,0.919990016492889,0.960212751663658,0.927654406480066,0.973214475954993,0.967536247233428,0.952533712858117,-0.215710112206487,0.949544952953734,0.952712163825596,0.972816590420044,0.949659000348201,0.976871299812721,0.963471451259912,0.971523070427554,0.954570567700935,0.94704582456216,0.922718507968175,-0.98248157759025,-0.967780906168526,-0.981753472364711,0.962485480991109,0.941175451973135,0.944423469403344,0.946839736044122,0.969621269926732,0.824950985401421,-0.284670962654699,0.986010894406995,0.951292770045443,0.955207131849516,0.922739979732083,0.946900296235042,0.959298079426539,0.202199894933466,-0.789699290558681,-0.443582353774836,-0.594515693946429,0.768832200816836,-0.960620619340601,-0.929450620154875,-0.736702906987799,-0.880096615420346,-0.262673802050723,-0.970298891281246,-0.98550672440886,-0.966055008806888,-0.913763156033402
"두부",0.965340516731459,0.983448513699758,0.938903237227644,0.995868887834224,0.989972711745256,0.996075909241445,0.985635242356336,0.963271201137249,1,0.993458145785692,0.903221188814507,0.896050324718564,0.982527116426746,0.995425130619152,0.98986992642937,0.990095286116521,0.946895728105858,0.895653043481382,0.975635790232861,0.973277173034463,0.991548765475782,0.981082469182239,0.995738223731251,0.947559242606801,0.970019018828931,0.997572131586302,0.47400255701811,0.97559716166724,0.989094922332594,0.87087921947733,0.983751474258221,0.980710382486165,-0.997151445936901,0.985218741010446,0.997189070828679,0.992436314981206,0.993537682185037,0.99570403101025,0.951305057572287,0.849000895341189,0.605027362158324,0.83624762216629,0.322459871262866,0.455619904537851,0.640594173237093,-0.278599622483262,-0.175799110204042,0.635226017691293,0.99475997789129,0.995469164909615,0.996464058348357,0.985189274600852,0.896710352164013,0.990821492418686,0.99215256853665,0.984255989680869,0.992925238382454,0.983319859770411,0.974882048967178,0.992391959931343,0.995602098119684,-0.00543535300412296,0.993102626233066,0.994719916536435,0.995255211968885,0.992742860884557,0.989517496435963,0.993749753302286,0.991163634284635,0.908456728318895,0.987833943741884,0.981151729412645,-0.958414576147703,-0.99565603873984,-0.98276114395228,0.996176145945997,0.98937137943656,0.991954356715033,0.992972501009437,0.989533025342375,0.670269232305915,-0.5100738076618,0.942355219466715,0.991486283348751,0.992501866600939,0.98832347394671,0.994444555997888,0.993772724414962,-0.0395011565516631,-0.902833850322845,-0.548522586543722,-0.756063562142339,0.77721279853221,-0.96512771661568,-0.96774202598217,-0.851866216715601,-0.960681096046689,-0.466136991900778,-0.9273777864521,-0.965350136725371,-0.907279959335751,-0.824731826830348
"마른멸치",0.940748173223784,0.984011733949265,0.941832555021804,0.996556648646227,0.997498641815633,0.995159197965263,0.990110939146744,0.981398215174986,0.993458145785692,1,0.924037892641732,0.913533920618332,0.992142013949146,0.991271411805409,0.975288036610567,0.980757404818043,0.966775050189578,0.878402826585761,0.959624552927597,0.974539519104692,0.998686355881571,0.96730365010137,0.983542556914989,0.922905560325415,0.977140753517259,0.992586324873407,0.530451857833919,0.989494703571261,0.986981835560305,0.895757792841028,0.97973306836085,0.977262909988975,-0.997812219600247,0.975646095168868,0.991294509075591,0.984790236547208,0.981908983419451,0.987990372780248,0.923675835779021,0.834012529546311,0.653793207429546,0.817695585584675,0.265689718628396,0.445491322670593,0.607420276717039,-0.314264884311124,-0.247016765150772,0.583426384826371,0.993588453818548,0.993432870380264,0.994204364063177,0.981676435256455,0.880250166926274,0.981777076405956,0.986211046153157,0.971481966750728,0.992167687292966,0.975446865078143,0.981951512744832,0.994169820495757,0.986391043253944,-0.087119785985066,0.987508894530996,0.989726769850561,0.996695449672069,0.987752133327313,0.996160020464583,0.993938683959837,0.995233016993125,0.931285402189373,0.985926644975857,0.973051697088034,-0.981110096129196,-0.995655133867631,-0.994635206675383,0.99368903057471,0.982328970416597,0.985531774266467,0.986495385669586,0.992747964099801,0.735014680738449,-0.418890855151305,0.96913793898929,0.988470133079861,0.989943877772442,0.974959231908778,0.986084707241891,0.991063171038835,0.0580978975100858,-0.878510128915221,-0.527552136678297,-0.712017134152093,0.763521685469442,-0.966263627198415,-0.96856466032476,-0.834695661489582,-0.94410472736479,-0.381652334612272,-0.950425789061593,-0.980090988501287,-0.935342614853595,-0.864138887298848
